MINUTE,HOUR,DAY,MONTH,LATITUDE,LONGITUD,FATALS
51,16,4,1,31.93380833,-85.13751944,1
40,23,4,1,33.54500833,-86.65259444,1
14,9,5,1,30.70789444,-88.17341667,2
35,15,8,1,33.67650278,-85.84126667,1
16,6,8,1,34.78365556,-85.88662778,1
50,18,11,1,32.32708889,-86.24123056,1
40,4,13,1,33.96973611,-86.49295833,2
45,14,14,1,30.697775,-88.106225,1
55,2,15,1,34.88033889,-85.85936667,1
20,6,1,1,33.69312778,-87.12245,1
50,18,1,1,34.79766389,-86.98327778,1
0,16,2,1,34.58037778,-86.43711389,1
10,0,2,1,34.52971667,-87.19844444,1
10,7,3,1,33.09127222,-87.05174722,1
35,10,3,1,34.69465278,-86.70711944,1
11,17,4,1,31.43933611,-85.64306667,1
13,3,7,1,33.778925,-86.42184722,1
30,6,9,1,34.95936667,-87.73246111,1
0,20,9,1,32.17369722,-86.49901389,1
35,13,11,1,33.92328611,-87.62214167,1
31,15,13,1,32.29405556,-85.00741667,1
20,21,13,1,32.56312222,-87.60552222,1
45,11,14,1,31.60381389,-88.140125,1
47,8,14,1,32.69619444,-85.78767778,1
40,13,15,1,33.9715,-85.76480278,1
35,8,15,1,32.38362222,-86.32224167,1
0,15,15,1,34.84573333,-87.37903056,1
30,18,15,1,30.588925,-88.20487778,1
50,17,15,1,30.92023889,-88.19949722,2
10,7,16,1,30.96880556,-88.13633611,1
56,22,16,1,34.55935833,-86.60732778,1
25,22,17,1,33.8861,-85.73808889,1
55,16,18,1,32.65684722,-86.16439722,1
57,16,21,1,32.69008056,-85.31914722,3
20,11,21,1,33.33995833,-87.32289722,1
0,22,21,1,30.99847778,-86.13230833,1
36,0,22,1,32.48224444,-86.43003333,1
32,8,26,1,31.06396389,-85.52200833,1
20,22,26,1,34.28533889,-86.58630833,1
40,3,28,1,34.65951389,-86.00728611,1
35,21,28,1,34.40106667,-87.75263056,1
31,17,30,1,34.77855556,-86.61659444,1
43,7,1,2,32.433025,-87.04915833,1
28,19,2,2,30.67595556,-88.17791111,1
10,23,3,2,33.34139167,-86.90065278,1
46,11,1,2,34.36302778,-86.42168611,1
33,0,5,2,31.91059722,-86.24069167,1
47,0,18,1,33.48348333,-86.82628056,1
45,17,19,1,33.48848611,-86.81599167,1
39,13,10,2,33.50008333,-86.852375,1
15,17,2,2,33.32151667,-86.61775833,1
40,19,3,2,31.95354722,-87.18656667,1
55,14,3,2,33.75290833,-86.27563611,2
0,19,3,2,33.771425,-86.82873889,1
40,9,4,2,34.81912222,-87.75011944,2
15,2,4,2,32.48189167,-88.35272778,1
40,2,5,2,34.43050556,-87.22849444,1
25,15,6,2,33.03529167,-86.05468611,1
36,4,6,2,30.60391389,-87.8983,1
45,2,7,2,32.14350556,-86.60701667,1
10,6,8,2,31.79581667,-85.25596667,2
12,19,10,2,30.39183056,-88.10945,1
30,17,10,2,30.83516389,-87.8823,1
50,6,10,2,33.63916944,-86.37416944,1
0,1,11,2,34.95525556,-86.78977222,1
50,14,11,2,31.522325,-85.26761667,1
10,21,11,2,34.89818889,-85.77724722,1
25,9,11,2,34.81335278,-85.73111389,1
51,19,11,2,32.71113333,-85.17842778,1
53,18,11,2,34.78685,-86.5186,1
10,3,12,2,32.65822778,-88.16608889,2
50,19,13,2,33.63981944,-87.65742222,2
35,7,14,2,31.40135833,-86.87833889,1
10,12,15,2,34.119125,-87.607125,1
39,0,19,2,34.75103611,-86.63567222,1
8,11,3,2,32.36841667,-86.21068333,1
40,17,6,2,34.24138056,-86.17068056,1
20,5,15,2,30.69791944,-88.12425556,1
0,6,19,2,33.48513056,-86.711075,1
38,17,9,1,33.17419722,-87.36531944,1
35,18,29,1,30.71417778,-88.31724722,1
14,12,14,2,33.57603056,-86.91144722,1
34,7,23,2,34.18148333,-86.10098611,1
0,17,26,2,33.04304444,-85.77918889,1
5,16,10,2,32.23244167,-85.12016111,1
0,22,18,2,31.04879722,-87.49290833,2
0,12,18,2,34.8744,-87.28270833,1
0,15,18,2,34.70008611,-87.64063333,1
30,17,19,2,30.60161667,-87.55499444,1
20,0,21,2,32.3707,-87.00571111,1
30,15,21,2,33.10548056,-86.22815,1
20,18,22,2,31.976375,-87.92026944,1
15,10,22,2,31.49696111,-86.93175556,1
38,11,22,2,33.17345278,-87.25068333,2
5,21,22,2,34.23138611,-86.12076944,1
30,5,24,2,32.18163333,-86.80066667,1
35,14,26,2,34.1724,-86.89028889,2
0,21,27,2,31.952125,-86.85396111,1
49,15,14,2,33.39252778,-86.94991667,1
24,18,4,3,34.30586667,-86.28963889,1
55,17,2,3,30.49486111,-88.18990556,1
40,21,3,3,30.68689722,-88.00650833,1
50,17,3,3,34.70374722,-87.6347,1
48,2,5,3,32.43458056,-86.21918056,1
45,13,5,3,32.54470556,-88.19883333,1
50,21,6,3,34.97045278,-87.13761111,1
35,10,5,3,30.574225,-88.182225,1
10,17,7,3,31.74426389,-85.86184444,3
14,11,8,3,31.37796944,-88.20463611,2
42,18,11,3,33.30796111,-85.44950278,1
15,16,14,3,32.46717222,-85.40274722,1
55,20,13,3,30.82233889,-88.16524167,1
35,15,14,3,30.63570556,-88.24946111,1
45,7,17,3,34.24094167,-87.72606667,1
0,20,17,3,34.89170278,-87.69445833,1
44,8,9,2,33.15918056,-87.54888611,1
26,20,23,2,30.73994444,-88.08338889,1
16,22,25,2,30.58345278,-88.20702778,1
35,1,16,2,33.65905833,-86.70914444,1
40,5,4,3,33.25025278,-87.60299444,1
22,10,8,3,34.17274167,-86.84798056,1
32,6,10,3,32.43688889,-85.67366111,1
29,18,13,3,34.79295278,-86.59859444,1
17,18,15,3,34.89378056,-85.77256944,1
38,10,2,3,33.75010556,-85.85333056,1
15,17,4,3,30.76872222,-88.22564444,1
30,5,5,3,32.47305833,-86.88818611,1
8,18,5,3,32.90291944,-86.70292222,1
45,13,5,3,32.891875,-87.21488056,1
15,3,6,3,32.34978333,-87.64189722,1
45,5,9,3,34.08611111,-86.50215278,1
0,4,12,3,30.52109444,-88.30447778,1
10,3,12,3,31.21299444,-87.11791389,1
43,13,13,3,34.76217778,-86.84599167,1
54,22,16,3,34.62236667,-86.09077778,1
30,2,12,3,34.67851389,-86.74731389,1
33,0,20,3,33.39449167,-86.784975,1
